userId,surveyType,Anger-Ag,Wanting-Dr,Dread-Ax,Sad-S,Easygoing-R,Grossed-Out-Dg,Happy-H,Terror-F,Rage-Ag,Grief-S,Nausea-Dg,Anxiety-Ax,Chilled-Out-R,Desire-Dr,Nervous-Ax,Lonely-S,Scared-F,Mad-Ag,Satisfaction-H,Sickened-Dg,Empty-S,Craving-Dr,Panic-F,Longing-Dr,Calm-R,Fear-F,Relaxation-R,Revulsion-Dg,Worry-Ax,Enjoyment-H,Pissed-Off-Ag,Linking-H,username,userGroup,userLoginTime,surveyTime
dm5a7kk84zie2,deq,2,5,3,3,2,2,3,2,2,4,3,4,2,2,4,3,3,2,2,2,4,4,2,2,3,3,2,3,2,2,2,2,board14485,Keyboard,2021-01-22-21-01-22,2021-01-25-21-52-39
dm5a7kkbagfra,deq,1,1,1,2,5,1,4,1,1,2,2,2,4,2,1,1,1,1,3,1,1,2,1,1,3,1,3,1,2,3,1,4,closely81878,FrankKeyboard,2021-01-25-01-54-58,2021-01-27-20-05-01
dm5a7kk84zie2,deq,3,4,2,4,1,2,3,2,3,4,2,3,2,2,3,4,3,2,1,2,4,5,2,3,2,4,2,2,4,2,4,2,board14485,Keyboard,2021-01-22-21-01-22,2021-01-27-21-46-24
dm5a7kkcn1lns,deq,1,3,3,5,3,1,2,1,1,2,2,3,2,1,2,6,2,1,3,1,7,2,1,3,4,2,3,1,4,2,1,2,card99263,FrankKeyboard,2021-01-26-00-46-06,2021-01-28-21-22-05
dm5a7kkcn1lns,deq,2,2,3,4,2,1,2,1,1,1,1,3,2,2,4,Quite a bit,3,1,2,1,3,1,1,4,2,1,2,1,3,2,2,1,card99263,FrankKeyboard,2021-01-26-00-46-06,2021-01-29-20-55-53
dm5a7kkbagfra,deq,1,2,1,1,3,1,4,1,1,2,2,3,3,1,2,2,1,1,3,1,1,1,1,1,3,1,3,1,1,2,1,3,closely81878,FrankKeyboard,2021-01-25-01-54-58,2021-01-29-21-23-04
dm5a7kkjiejlv,deq,5,3,1,3,2,1,2,1,3,1,1,3,2,1,2,3,2,4,1,1,3,2,1,2,1,2,1,1,4,2,5,2,fairly34668,FrankKeyboard,2021-01-30-20-01-29,2021-01-30-20-08-13
dm5a7kkj7xwvl,deq,1,1,2,2,4,1,3,2,1,2,1,2,2,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,3,1,1,1,smile47459,Frank,2021-01-30-15-11-23,2021-01-30-20-16-42
dm5a7kkhdtmwa,deq,1,1,1,1,4,1,4,1,1,1,5,1,4,2,1,1,1,1,3,1,1,1,1,1,5,1,5,1,1,4,1,3,follow53018,Frank,2021-01-29-08-14-50,2021-01-30-21-14-59
dm5a7kkcn1lns,deq,3,4,4,4,3,2,2,2,1,2,1,3,2,2,3,4,2,1,2,1,5,2,1,3,2,1,2,1,4,2,2,2,card99263,FrankKeyboard,2021-01-26-00-46-06,2021-01-30-21-48-01
dm5a7kkjkxgze,deq,2,2,1,1,5,1,5,1,1,1,1,1,4,3,1,1,1,2,3,1,1,2,1,2,5,1,3,1,1,5,2,5,fear12060,Frank,2021-01-30-21-49-16,2021-01-30-21-54-46
dm5a7kkkaxqes,deq,1,6,1,5,3,1,3,1,1,5,2,4,3,6,1,6,1,1,3,1,5,5,1,6,3,1,3,1,2,3,1,2,spring78979,Frank,2021-01-31-09-23-32,2021-01-31-20-30-13
dm5a7kkiyt10s,deq,2,3,5,5,5,1,5,3,1,4,2,4,2,1,3,1,4,1,5,1,3,1,3,2,1,4,4,1,4,4,3,2,whenever37892,FrankKeyboard,2021-01-30-10-50-04,2021-01-31-21-47-10
dm5a7kkj7xwvl,deq,1,2,3,1,2,1,4,1,1,2,1,5,2,1,4,1,5,1,6,1,1,1,2,1,2,5,2,1,6,4,2,1,smile47459,Frank,2021-01-30-15-11-23,2021-01-31-21-47-16
dm5a7kkkpp86y,deq,2,3,6,4,2,1,3,1,1,1,1,6,5,1,5,4,4,1,2,1,1,2,4,4,3,5,4,1,6,2,2,4,instead94593,Frank,2021-01-31-16-10-50,2021-01-31-21-49-20
dm5a7kkjiejlv,deq,3,1,2,2,3,1,3,2,2,1,1,3,2,1,2,3,1,3,2,1,2,3,2,2,2,2,2,1,3,3,4,2,fairly34668,FrankKeyboard,2021-01-30-20-01-29,2021-01-31-21-50-02
dm5a7kkcn1lns,deq,2,3,3,4,4,1,2,1,1,3,1,4,2,2,2,Quite a bit,2,1,2,1,6,1,1,3,2,2,2,1,5,2,2,2,card99263,FrankKeyboard,2021-01-26-00-46-06,2021-01-31-21-51-28
dm5a7kkjo1wdy,deq,1,4,,2,6,1,5,1,1,2,1,4,5,4,2,2,1,1,3,1,1,1,1,3,3,1,2,1,4,4,1,4,clock20178,Frank,2021-01-30-22-39-32,2021-01-31-21-59-30
dm5a7kkcn1lns,deq,1,3,3,5,2,1,3,1,1,3,1,5,3,2,2,3,2,1,4,1,4,1,1,2,3,1,3,1,4,3,1,2,card99263,FrankKeyboard,2021-01-26-00-46-06,2021-02-01-20-09-50
dm5a7kkjiejlv,deq,1,2,3,2,2,1,2,1,1,1,1,3,1,1,3,3,2,1,2,1,2,3,2,3,2,3,1,1,3,2,2,3,fairly34668,FrankKeyboard,2021-01-30-20-01-29,2021-02-01-20-14-17
dm5a7kkkaxqes,deq,5,1,1,3,3,1,4,1,5,2,1,1,3,3,1,3,1,4,4,1,3,3,1,3,2,1,2,1,2,3,5,3,spring78979,Frank,2021-01-31-09-23-32,2021-02-01-21-15-48
dm5a7kkldghur,deq,2,4,2,1,6,1,6,1,1,1,1,3,6,4,3,Quite a bit,1,2,4,2,3,1,1,3,3,1,6,1,2,4,3,4,fourth70041,Frank,2021-02-01-03-14-53,2021-02-01-21-47-04
dm5a7kkjkxgze,deq,5,3,1,2,4,1,5,1,2,1,1,1,2,2,1,1,2,3,3,2,1,3,1,2,3,1,3,1,2,3,5,5,fear12060,Frank,2021-01-30-21-49-16,2021-02-01-21-51-57
dm5a7kkjpp3zz,deq,1,6,5,5,1,2,3,4,4,7,3,3,2,5,3,2,2,5,3,3,3,3,3,3,2,3,2,3,5,3,6,3,world97210,Keyboard,2021-01-30-23-23-06,2021-02-01-21-54-14
dm5a7kkjpwxa5,deq,2,3,2,2,3,2,4,1,1,1,1,3,4,2,3,2,1,2,4,1,1,2,4,2,3,2,5,1,2,4,2,3,trade33506,Keyboard,2021-01-30-23-29-34,2021-02-02-21-23-32
dm5a7kkkaxqes,deq,3,3,1,3,2,1,4,1,3,2,1,1,2,5,1,Quite a bit,1,5,5,1,5,2,1,6,2,1,2,1,3,4,3,1,spring78979,Frank,2021-01-31-09-23-32,2021-02-02-21-48-03
dm5a7kkkpp86y,deq,1,1,3,1,2,1,4,1,1,1,1,3,2,1,5,1,1,1,2,1,1,1,2,1,2,1,2,1,4,3,1,4,instead94593,Frank,2021-01-31-16-10-50,2021-02-02-21-49-34
dm5a7kkihp565,deq,2,4,4,3,4,1,3,5,2,2,4,5,2,4,5,3,4,1,3,2,2,4,3,4,2,4,3,2,5,3,1,3,wool66093,Frank,2021-01-30-02-50-19,2021-02-02-21-54-10
dm5a7kkjpwxa5,deq,4,2,1,2,4,1,4,1,2,3,2,2,3,2,1,2,1,3,5,1,2,2,1,2,2,1,5,1,2,5,2,2,trade33506,Keyboard,2021-01-30-23-29-34,2021-02-03-20-02-21
dm5a7kkjpp3zz,deq,1,3,4,5,2,1,3,3,3,7,2,4,3,4,4,2,2,2,2,1,3,3,2,4,4,4,2,1,5,4,3,2,world97210,Keyboard,2021-01-30-23-23-06,2021-02-03-20-04-18
dm5a7kkhdtmwa,deq,1,1,1,1,5,1,4,1,1,1,1,1,3,3,1,1,1,1,3,1,1,3,1,1,4,1,4,1,1,3,1,3,follow53018,Frank,2021-01-29-08-14-50,2021-02-03-21-38-13
dm5a7kkkaxqes,deq,5,2,1,3,3,1,5,1,5,3,1,2,1,3,3,3,3,7,3,1,3,1,2,3,2,3,2,1,3,5,6,3,spring78979,Frank,2021-01-31-09-23-32,2021-02-03-21-53-51
dm5a7kkkaxqes,deq,3,6,1,3,2,1,5,3,3,2,3,3,2,6,3,2,3,3,3,3,3,3,2,3,4,2,2,1,5,5,3,4,spring78979,Frank,2021-01-31-09-23-32,2021-02-04-21-30-43
dm5a7kkkaxqes,deq,4,4,2,2,5,1,5,3,2,3,1,5,2,5,4,3,3,2,5,2,3,4,3,4,4,2,6,1,5,6,4,5,spring78979,Frank,2021-01-31-09-23-32,2021-02-05-21-55-36
dm5a7kkjpp3zz,deq,4,5,5,6,3,2,3,4,4,7,3,5,2,3,4,Quite a bit,4,5,3,4,4,4,4,5,2,4,2,4,4,2,3,2,world97210,Keyboard,2021-01-30-23-23-06,2021-02-06-21-49-53
dm5a7kkkaxqes,deq,3,5,3,5,3,2,4,3,5,5,2,5,3,5,5,6,5,5,3,2,5,3,3,5,3,3,2,3,5,4,5,3,spring78979,Frank,2021-01-31-09-23-32,2021-02-06-21-51-58
ex608klu4dk0t,deq,2,6,4,4,2,1,2,1,1,3,1,3,1,5,4,6,6,2,1,2,3,2,2,6,2,5,3,1,6,2,3,2,agree33458,Keyboard,2021-03-04-10-54-35,2021-03-04-20-03-37
2438kltf4849,deq,1,3,1,4,4,1,2,2,1,7,3,2,2,3,3,2,3,1,1,2,6,2,3,4,2,3,2,3,3,2,2,2,herself57276,FrankKeyboard,2021-03-03-23-07-25,2021-03-05-20-09-17
ex608kltrklaa,deq,1,1,2,1,4,1,5,1,2,1,1,3,4,1,2,1,1,2,4,1,1,1,1,2,5,1,4,1,2,4,2,2,mostly53427,Frank,2021-03-04-04-53-40,2021-03-05-21-24-43
2438klw6jb47,deq,1,1,2,1,2,1,3,1,1,1,1,2,3,2,2,1,2,1,5,1,1,2,1,1,3,1,3,1,3,3,1,3,drawn79042,Keyboard,2021-03-05-21-27-00,2021-03-05-21-34-03
2438kltf4849,deq,1,3,2,3,3,2,3,2,2,3,3,2,2,3,4,3,3,3,2,3,7,3,2,5,2,2,2,2,3,2,3,2,herself57276,FrankKeyboard,2021-03-03-23-07-25,2021-03-06-20-49-17
ex608klu4dk0t,deq,2,6,4,7,3,1,2,2,1,6,2,5,1,6,3,6,4,2,2,1,2,4,3,6,2,5,2,1,5,2,2,4,agree33458,Keyboard,2021-03-04-10-54-35,2021-03-06-20-56-50
